,Name,Ceiling_price,Floor_price,Local_price,Close,Change_price,Change_percent,Volume,High,Low,Foreign_investor_buy,Foregin_investor_sell
0,AAS,20.4,15.2,17.8,16.8,-1.0,-5.6,169360.0,17.8,16.6,320.0,510.0
1,ABB,23.8,17.6,20.7,20.5,-0.2,-1.0,249920.0,20.7,20.3,0.0,0.0
2,ABC,15.5,11.5,13.5,13.5,0.0,0.0,2150.0,13.5,13.3,20.0,0.0
3,ABI,73.8,54.6,64.2,64.5,0.3,0.5,1340.0,65.0,63.1,0.0,0.0
4,ACG,136.0,100.6,118.3,118.1,-0.2,-0.2,6650.0,118.9,117.0,0.0,0.0
5,ACV,95.9,70.9,83.4,85.0,1.6,1.9,10540.0,85.3,83.0,5601.0,710.0
6,ADP,30.0,22.2,26.1,26.5,0.4,1.5,140.0,26.5,26.2,0.0,0.0
7,AFX,16.6,12.4,14.5,14.0,-0.5,-3.4,44580.0,14.3,13.6,0.0,0.0
8,AG1,7.7,5.7,6.7,6.7,0.0,0.0,1010.0,7.0,6.7,0.0,0.0
9,AGP,28.4,21.0,24.7,24.6,-0.1,-0.4,470.0,24.8,24.6,0.0,0.0
10,AIC,16.3,12.1,14.2,14.0,-0.2,-1.4,1480.0,14.0,13.0,0.0,0.0
11,AMS,19.2,14.2,16.7,15.7,-1.0,-6.0,60410.0,16.7,15.4,0.0,0.0
12,ANT,13.2,9.8,11.5,12.2,0.7,6.1,2320.0,12.2,11.0,0.0,0.0
13,APF,61.9,45.9,53.9,53.6,-0.3,-0.6,920.0,53.9,53.4,0.0,0.0
14,AVC,35.8,26.6,31.2,33.0,1.8,5.8,460.0,33.0,31.2,0.0,0.0
15,BBT,26.2,19.4,22.8,23.5,0.7,3.1,40.0,23.9,22.8,0.0,0.0
16,BCA,17.7,13.1,15.4,15.1,-0.3,-1.9,14100.0,15.4,15.0,0.0,0.0
17,BCP,13.4,10.0,11.7,11.7,0.0,0.0,750.0,11.7,11.1,0.0,0.0
18,BDG,50.4,37.4,43.9,43.9,0.0,0.0,50.0,43.9,43.9,0.0,0.0
19,BHP,8.2,6.2,7.2,7.0,-0.2,-2.8,120.0,7.0,7.0,0.0,0.0
20,BIO,80.1,59.3,69.7,67.8,-1.9,-2.7,1300.0,69.6,67.5,0.0,0.0
21,BKH,23.9,17.7,20.8,23.9,3.1,14.9,10.0,23.9,23.9,0.0,0.0
22,BLI,17.4,13.0,15.2,15.5,0.3,2.0,90.0,15.9,14.4,0.0,0.0
23,BLT,25.5,18.9,22.2,22.5,0.3,1.4,150.0,22.5,22.5,0.0,0.0
24,BMF,28.1,20.9,24.5,24.1,-0.4,-1.6,30.0,24.4,24.1,0.0,0.0
25,BMG,24.3,18.1,21.2,21.2,0.0,0.0,220.0,24.3,21.2,0.0,0.0
26,BMS,25.0,18.6,21.8,20.8,-1.0,-4.6,22500.0,21.6,20.0,10.0,100.0
27,BOT,48.8,36.2,42.5,45.2,2.7,6.4,20.0,45.2,45.1,0.0,0.0
28,BQB,6.9,5.1,6.0,6.0,0.0,0.0,330.0,6.5,5.9,0.0,0.0
29,BRR,20.4,15.2,17.8,16.5,-1.3,-7.3,810.0,17.3,16.5,0.0,0.0
